raciallychargedsearch,dmaindex,dma,,,,,,
65.44608307,1,NEW YORK (NY),,,,,,
64.38783264,2,LOS ANGELES (CA),,,,,,
62.97050858,3,CHICAGO (IL),,,,,,
77.93180847,4,PHILADELPHIA (PA),,,,,,
47.6399765,5,SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA),,,,,,
51.03105927,6,BOSTON (MA) - MANCHESTER (NH),,,,,,
50.61455536,7,DALLAS (TX) - FT. WORTH (TX),,,,,,
51.22579575,8,WASHINGTON (DC) - HAGERSTOWN (MD),,,,,,
62.15132141,9,ATLANTA (GA),,,,,,
68.44391632,10,DETROIT (MI),,,,,,
51.25508881,11,HOUSTON (TX),,,,,,
53.79476166,12,SEATTLE (WA) - TACOMA (WA),,,,,,
68.7193985,13,TAMPA (FL) - ST. PETERSBURG (FL) - SARASOTA (FL),,,,,,
42.31821442,14,MINNEAPOLIS (MN) - ST. PAUL (MN),,,,,,
83.96348572,15,CLEVELAND (OH) - AKRON (OH) - CANTON (OH),,,,,,
50.33713913,16,PHOENIX (AZ),,,,,,
55.95415878,17,MIAMI (FL) - FT. LAUDERDALE (FL),,,,,,
32.79961395,18,DENVER (CO),,,,,,
61.89254761,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA),,,,,,
63.92734528,20,ORLANDO (FL) - DAYTONA BEACH (FL) - MELBOURNE (FL),,,,,,
76.07627869,21,PITTSBURGH (PA),,,,,,
70.88333893,22,ST. LOUIS (MO),,,,,,
42.51243591,23,PORTLAND (OR),,,,,,
57.2762146,24,BALTIMORE (MD),,,,,,
59.91072083,25,INDIANAPOLIS (IN),,,,,,
52.04159164,26,SAN DIEGO (CA),,,,,,
63.83945847,27,HARTFORD (CT) - NEW HAVEN (CT),,,,,,
72.99562073,28,CHARLOTTE (NC),,,,,,
60.63095093,29,RALEIGH (NC) - DURHAM (NC) - FAYETTEVILLE (NC),,,,,,
63.43253708,30,NASHVILLE (TN),,,,,,
70.47348022,31,MILWAUKEE (WI),,,,,,
71.83718109,32,CINCINNATI (OH),,,,,,
55.29806519,33,KANSAS CITY (MO),,,,,,
75.68852997,34,COLUMBUS (OH),,,,,,
71.65180969,35,GREENVILLE (SC) - SPARTANBURG (SC) - ASHEVILLE (NC) - ANDERSON (SC),,,,,,
34.62676239,36,SALT LAKE CITY (UT),,,,,,
46.22856903,37,SAN ANTONIO (TX),,,,,,
59.49357605,38,GRAND RAPIDS (MI) - KALAMAZOO (MI) - BATTLE CREEK (MI),,,,,,
