"State","County.Name","B_armed","B_unarmed","H_armed","H_unarmed","W_armed","W_unarmed","src.wapo","SortGADMintoPrevOrder","SortGADMintoGADMintoGADMorder","County.FIPS.Code","FIPS","DMA","WeaponsBlack.sum","WeaponsWhite.sum","AssaultsBlack.sum","AssaultsWhite.sum","county","CountyName","ID","TOT_POP","TOT_MALE","TOT_FEMALE","WA_TOT","BAC_TOT","H_TOT","Pct.Uninsured","Median.Income","Gini","Pct.Living.in.Poverty","Pct.HS.Education","PercentSlaveOwningFarms","NSlavesPerCounty","ID.1","FBIDataToRight","VictimsOfHateCrimes","MURDER","AGASSLT","USPSDToRight","BlackArmed","BlackUnarmed","HispanicArmed","HispanicUnarmed","WhiteArmed","WhiteUnarmed","State.1","RandID","SouthernLawCenterDataToRight","Arson","Assault","Bombing","Cross.Burnings","Harassment","Intelligence","Intimidation","Leafletting","Legal.Developments","Murder","Rally","Threat","Vandalism","BayesianPosterior","ModelID","m.log.RR_Black_Unarmed_Versus_White_Unarmed","sd.log.RR_Black_Unarmed_Versus_White_Unarmed"
"AK","Anchorage Municipality",0,0,0,0,2,0,"wapo",70,96,2020,2020,156,NA,NA,NA,NA,"Anchorage Borough","AnchorageMunicipality","AKAnchorageMunicipality",291826,148209,143617,198531,23255,22061,18.4,70524,0.416,9.6,91.9,NA,NA,"AK020","FBIDataToRight",NA,17,846,"USPSDToRight",0,0,0,0,2,0,"AK",1,"SouthernLawCenterDataToRight",0,0,0,0,0,0,1,0,1,0,0,0,1,"BayesianPosterior",1,1.39738387842453,0.935252268500606
"AK","Matanuska-Susitna Borou",0,0,0,0,1,0,"wapo",83,108,2170,2170,156,NA,NA,NA,NA,"Matanuska-Susitna Borough","MatanuskaSusitnaBorou","AKMatanuskaSusitnaBorou",88995,46040,42955,76335,1658,3301,21.2,68670,0.387,10.9,91.8,NA,NA,"AK170","FBIDataToRight",NA,1,31,"USPSDToRight",0,0,0,0,1,0,"AK",1,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",2,1.37983718721354,1.06976124266615
"AL","Autauga County",1,0,0,0,0,0,"wapo",1,27,1001,1001,116,NA,NA,NA,NA,"Autauga","Autauga","ALAutauga",54571,26569,28002,43297,10010,1310,13.6,53049,0.405,11.9,85.3,0.444953068,5,"AL001","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.60166095213134,1.06041427048875
"AL","Baldwin County",0,0,0,0,1,0,"wapo",2,28,1003,1003,62,NA,NA,NA,NA,"Baldwin","Baldwin","ALBaldwin",182265,89196,93069,159710,18131,7992,19.1,47618,0.439,13.3,87.6,NA,NA,"AL003","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.67107007098804,1.04195833475036
"AL","Barbour County",1,0,0,0,0,0,"wapo",3,29,1005,1005,126,NA,NA,NA,NA,"Barbour","Barbour","ALBarbour",27457,14576,12881,13987,13080,1387,18.5,33074,0.464,25.3,71.9,0.448903205,147,"AL005","FBIDataToRight",NA,0,0,"USPSDToRight",0,1,0,0,0,0,"AL",2,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",3,1.50084313551709,1.15620798502966
"AL","Blount County",0,0,0,0,1,0,"wapo",5,31,1009,1009,40,NA,NA,NA,NA,"Blount","Blount","ALBlount",57322,28362,28960,55368,965,4626,19.3,42906,0.422,16.5,74.7,0.493707886,2,"AL009","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.26650070686232,1.10852492634386
"AL","Calhoun County",0,0,0,0,1,0,"wapo",8,34,1015,1015,40,NA,NA,NA,NA,"Calhoun","Calhoun","ALCalhoun",118572,57176,61396,90616,25470,3893,16.1,37916,0.453,23.5,78.5,0.457026253,30,"AL015","FBIDataToRight",NA,0,0,"USPSDToRight",0,0,0,0,1,0,"AL",2,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",4,1.42719232153505,1.00452077654295
"AL","Chilton County",0,0,0,0,2,0,"wapo",11,37,1021,1021,40,NA,NA,NA,NA,"Chilton","Chilton","ALChilton",43643,21608,22035,38456,4546,3420,20,38553,0.451,20.4,75.9,NA,NA,"AL021","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,0.716926026627916,1.13480748368712
"AL","Colbert County",0,0,0,0,1,0,"wapo",17,43,1033,1033,83,NA,NA,NA,NA,"Colbert","Colbert","ALColbert",54428,26159,28269,44278,9196,1093,14.7,37455,0.435,19.2,80.1,NA,NA,"AL033","FBIDataToRight",NA,0,0,"USPSDToRight",0,0,0,0,1,0,"AL",2,"SouthernLawCenterDataToRight",0,0,0,0,0,0,0,0,0,0,1,0,0,"BayesianPosterior",5,1.23781031855061,1.07531356750595
"AL","Covington County",0,0,0,0,1,0,"wapo",20,46,1039,1039,116,NA,NA,NA,NA,"Covington","Covington","ALCovington",37765,18288,19477,32156,4960,483,17.5,33484,0.475,20.9,76.5,0.453398488,0,"AL039","FBIDataToRight",NA,0,0,"USPSDToRight",NA,NA,NA,NA,NA,NA,NA,NA,"SouthernLawCenterDataToRight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BayesianPosterior",NA,1.14523940742025,1.07041160659053
